run_id,scenario_id,turn_index,mcs_turn
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_structured_recall_01,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_numeric_recall_01_12345,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_structured_recall_01_pro,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_numeric_recall_01_483729,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_numeric_recall_01,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_structured_recall_01_basic,2,1
v2_experiments_20260228_051134_qwen_14b_t0_qwen2_5_14b_323dc3a7,memory_name_recall_01,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_structured_recall_01_premium,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_name_recall_01_luna,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_numeric_recall_01_98765,2,0
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_name_recall_01_nova,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_name_recall_01_milo,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_name_recall_01_atlas,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_numeric_recall_01_45678,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_structured_recall_01,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_numeric_recall_01_12345,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_structured_recall_01_pro,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_numeric_recall_01_483729,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_numeric_recall_01,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_structured_recall_01_basic,2,1
v2_experiments_20260228_052155_gpt_20b_t0_gpt_oss_safeguard_20b_305fffaf,memory_name_recall_01,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_structured_recall_01_premium,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_name_recall_01_luna,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_numeric_recall_01_98765,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_name_recall_01_nova,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_name_recall_01_milo,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_name_recall_01_atlas,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_numeric_recall_01_45678,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_structured_recall_01,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_numeric_recall_01_12345,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_structured_recall_01_pro,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_numeric_recall_01_483729,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_numeric_recall_01,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_structured_recall_01_basic,2,1
v2_experiments_20260228_053003_qwen_3b_t0_qwen2_5_3b_1f9eb7d0,memory_name_recall_01,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_structured_recall_01_premium,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_name_recall_01_luna,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_numeric_recall_01_98765,2,0
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_name_recall_01_nova,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_name_recall_01_milo,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_name_recall_01_atlas,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_numeric_recall_01_45678,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_structured_recall_01,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_numeric_recall_01_12345,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_structured_recall_01_pro,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_numeric_recall_01_483729,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_numeric_recall_01,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_structured_recall_01_basic,2,1
v2_experiments_20260228_053154_gpt_20b_t0_gpt_oss_safeguard_20b_ce7c5e12,memory_name_recall_01,2,1
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_structured_recall_01_premium,2,1
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_name_recall_01_luna,2,1
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_numeric_recall_01_98765,2,1
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_name_recall_01_nova,2,1
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_name_recall_01_milo,2,1
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_name_recall_01_atlas,2,1
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_numeric_recall_01_45678,2,1
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_structured_recall_01,2,1
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_numeric_recall_01_12345,2,1
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_structured_recall_01_pro,2,1
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_numeric_recall_01_483729,2,0
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_numeric_recall_01,2,1
v2_experiments_20260228_061055_mixtral_moe_7b_t0_mixtral_8x7b_18e6bda8,memory_structured_recall_01_basic,2,1
